상권_코드,상권_코드_명_x,경도(WGS84),위도(WGS84),기준_년분기_코드,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100006,패스트푸드점,256688240,32278190,31767311,36505234,37803018,34897916,38867921,44568650,0,3930902,55024275,57433317,91267322,49032424,145657193,106193988,2101772,31629162,54570647,76220735,53672951,33655913
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100006,패스트푸드점,262766654,33396551,43992936,38484618,37488649,36673339,33148768,39581793,0,2782950,54577713,64050912,88854504,52500575,147805932,101647006,3524311,38486541,53139375,66286363,55341047,32675301
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100008,분식전문점,192562288,21852760,24204221,24718099,24977924,23262755,34892324,38654205,0,4215997,61037499,56579801,68432282,2296709,86718066,103205608,3904541,25195705,34463962,59001510,53848027,13509929
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100008,분식전문점,226217564,24561727,32753170,33072856,26521416,25420189,43145230,40742976,0,5319500,68454664,56792143,93162939,2488318,92108628,130795328,3376084,33246394,40399003,65143906,66711453,14027116
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100008,분식전문점,194703934,21462079,24548463,23435754,22566806,25152167,34972955,42565710,0,4769958,54509432,50887871,84120208,416465,89353514,105350420,2419118,23827287,32918909,65063832,57334710,13140078
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100008,분식전문점,205208411,20065437,25730923,26765566,28187018,20425319,35129972,48904176,0,2959065,63507375,62376993,75410441,954537,91950839,113257572,3409876,30871199,28031906,65420265,63061681,14413484
3110383,덕성여대시반거리,127.013768,37.651419,20241,CS100010,커피-음료,106694563,15389780,16284117,18229431,18098126,14376254,11805563,12511292,0,17031168,44176233,32259729,12584588,642845,35384195,71310368,2830942,32788953,17029370,18270921,27249261,8525116
3110383,덕성여대시반거리,127.013768,37.651419,20242,CS100010,커피-음료,282308488,40035312,44066178,45658078,45797169,38040280,31905203,36806268,0,50870192,99409867,73626649,52175998,6225782,89546018,192295664,9223928,94224237,47512374,48662300,62292701,19926142
3110383,덕성여대시반거리,127.013768,37.651419,20243,CS100010,커피-음료,198367019,31114367,27781902,27467676,26602852,26345400,29457900,29596922,0,37285410,71306717,50961429,35611174,3202289,75093216,116395652,3000441,43717552,42972784,39438505,43011099,19348485
3110383,덕성여대시반거리,127.013768,37.651419,20244,CS100010,커피-음료,207119423,30512615,32587830,33912107,32860308,22658305,28299595,26288663,0,40428972,73605998,53449988,36370288,3264177,68501747,138147372,7814901,68117233,33635264,36231500,42692887,18157334
3110386,연산군묘,127.023834,37.660941,20241,CS100001,한식음식점,339088210,9617626,31654739,45396452,44609414,56729825,77665086,73415068,928707,8515770,129420819,68803016,115380028,16039870,145114391,165892241,0,13175046,26743611,66284489,110531865,94271623
3110386,연산군묘,127.023834,37.660941,20242,CS100001,한식음식점,282284403,3362233,44593674,40280695,36258922,37329296,54578059,65881524,0,3777791,93579027,60891692,104358324,19677569,141391693,119107450,456483,10325962,27996578,46021363,84992424,90706332
3110386,연산군묘,127.023834,37.660941,20243,CS100001,한식음식점,263442671,9633367,32882521,31890851,35547438,40038287,48661094,64789113,550928,3400012,103479988,42862185,98504322,14645236,137152696,108518617,0,7083358,24385640,57154828,94052825,62994663
3110386,연산군묘,127.023834,37.660941,20244,CS100001,한식음식점,352648905,3376400,47757572,50701101,45616824,54809449,65277078,85110481,4722239,4375941,167733912,60224283,100638774,14953756,163885289,160745001,0,7712990,29230657,69983575,102338780,115364288
3110387,쌍문초등학교,127.024465,37.650408,20241,CS100001,한식음식점,192543476,25875691,25655691,38907628,25337880,24614546,34161472,17990568,39101,972044,34311131,11351725,123261013,22608462,126887685,58654292,274750,12572052,22345140,43970782,55020466,51358789
3110387,쌍문초등학교,127.024465,37.650408,20242,CS100001,한식음식점,229525723,36783894,32647874,32456527,30234163,36207031,37459640,23736594,0,625096,45976089,14368359,127513695,41042484,125346465,83965565,221223,14411467,36099111,52444058,57214238,48921934
3110387,쌍문초등학교,127.024465,37.650408,20243,CS100001,한식음식점,205516212,31321749,22995646,33250419,29653793,29260424,39750984,19283197,0,239420,46443461,15395048,105544187,37894096,124433186,66735974,810956,12388032,20965435,45024803,52449099,59530838
3110387,쌍문초등학교,127.024465,37.650408,20244,CS100001,한식음식점,208170373,28534428,27597588,23439507,27947234,32247378,33494874,34909364,0,1079974,34507264,23101011,119846707,29635417,131790177,67829851,357067,10849823,19301183,45931048,52550018,70630888
3110387,쌍문초등학교,127.024465,37.650408,20241,CS100007,치킨전문점,5301001,510256,1040987,651995,562227,801608,609473,1124455,0,0,0,314974,4507268,478759,3517631,1783370,0,297702,464922,1525477,2083226,929674
3110387,쌍문초등학교,127.024465,37.650408,20242,CS100007,치킨전문점,5488410,674043,414190,971692,559078,883500,1113431,872476,0,0,0,85043,4354506,1048861,4864762,623648,0,85043,325998,1773299,1618963,1685107
3110387,쌍문초등학교,127.024465,37.650408,20243,CS100007,치킨전문점,3475730,776409,218906,544904,466161,316548,351196,801606,0,0,0,366944,2612703,496083,2320968,1050821,31497,92709,417077,771879,1007313,1051314
3110387,쌍문초등학교,127.024465,37.650408,20244,CS100007,치킨전문점,3108788,428364,220482,570102,425214,253554,675617,535455,0,0,0,485059,2409547,214182,2379527,672565,0,31497,135439,891096,1151154,842906
3110387,쌍문초등학교,127.024465,37.650408,20241,CS100008,분식전문점,23721105,4792479,3272609,3651883,2952681,4850731,2702589,1498133,0,623601,11695084,7177283,3982582,242555,12230030,10824015,108025,2091506,4704621,5665405,7396426,3088063
3110387,쌍문초등학교,127.024465,37.650408,20242,CS100008,분식전문점,24698567,3902281,4686386,3597613,4166955,4815130,2424437,1105765,0,839652,9716676,4991140,8423434,727665,14529452,9652512,129956,2731425,3209805,4879560,9463463,3767756
3110387,쌍문초등학교,127.024465,37.650408,20243,CS100008,분식전문점,16618202,1906390,3325954,1787213,3781117,2946004,2450620,420904,0,505755,5829828,3557000,6211973,513646,8623503,7994699,0,1654621,2750615,3261862,6423550,2527554
3110387,쌍문초등학교,127.024465,37.650408,20244,CS100008,분식전문점,16786698,2654052,2579117,2557996,2646755,3518117,2402623,428038,0,39282,5203335,4972618,6029282,542181,8137814,7431143,432102,1061178,2693439,3825004,4662238,2894995
3110387,쌍문초등학교,127.024465,37.650408,20241,CS100010,커피-음료,23895076,2772099,4970846,4063415,4073950,4525704,1996418,1492644,0,929017,7241899,10786225,4714144,223791,10615905,12829206,0,2390847,5415708,7730985,6029309,1878261
3110387,쌍문초등학교,127.024465,37.650408,20242,CS100010,커피-음료,27899326,2908932,5838557,6196914,4827661,4510352,1770965,1845945,0,805665,9411788,10460382,6494552,726939,10675878,15769918,38241,3174467,4405718,8302453,9195209,1329707
3110387,쌍문초등학교,127.024465,37.650408,20243,CS100010,커피-음료,23252153,3727118,4525080,3522891,4900645,3768665,1324576,1483178,0,648410,10508719,8455365,3444436,195223,5430426,16384545,230531,1785958,3444965,7375458,6945145,2032913
3110387,쌍문초등학교,127.024465,37.650408,20244,CS100010,커피-음료,23481243,3346253,6649714,4451955,3207148,4340351,673224,812598,0,1560298,11635283,8138973,2039555,107134,4201297,16867101,918195,1464045,3552653,6934359,7633205,565941
3110387,쌍문초등학교,127.024465,37.650408,20241,CS300010,반찬가게,5958777,828829,1029758,696969,1054872,1726728,621621,0,0,439530,1419055,2090909,2009283,0,1771626,4187151,0,252959,576869,724563,3065366,1339020
3110387,쌍문초등학교,127.024465,37.650408,20242,CS300010,반찬가게,5211575,627902,1406498,420693,1180453,872781,389298,313950,0,464646,634179,973245,3139505,0,1607425,3604150,0,0,747201,671853,3239969,552552
3110387,쌍문초등학교,127.024465,37.650408,20243,CS300010,반찬가게,4859952,1167897,753480,1149058,1067432,295113,426972,0,0,144417,1437892,973246,2304397,0,1977888,2756484,0,62790,389298,847665,2605790,828828
3110387,쌍문초등학교,127.024465,37.650408,20244,CS300010,반찬가게,3208572,94185,577668,269997,1193012,508599,565111,0,0,94185,326508,1444171,1343708,0,1149058,2059514,31395,81627,897898,288834,835108,1073710
3110388,도봉우체국,127.030345,37.647551,20241,CS100001,한식음식점,402816949,23256664,103973500,65696162,59571561,73071507,43231347,34016208,0,2927259,193718566,70085009,135852650,233465,147599822,96428996,696361,10052343,37357618,46684529,64239476,84998493
3110388,도봉우체국,127.030345,37.647551,20242,CS100001,한식음식점,384634200,44833286,73153980,61105466,75303226,47362227,41477468,41398547,378591,6497351,167537702,57386834,152325779,507943,160585744,100708169,372956,9736455,37895834,43998747,85683723,83606199
3110388,도봉우체국,127.030345,37.647551,20243,CS100001,한식음식점,370375768,51168671,57742158,61970298,58898779,45845278,51081004,43669580,0,2980852,182733230,54571083,129194604,895999,138490285,113020081,207147,7223399,35267888,57157357,65243904,86410673
3110388,도봉우체국,127.030345,37.647551,20244,CS100001,한식음식점,392642291,39508134,70746221,59854498,54883857,61380971,71465074,34803536,0,8882629,172449065,74343083,135642445,1325069,164513314,105096894,687807,6808540,53047852,50038141,66991137,92036733
3110388,도봉우체국,127.030345,37.647551,20241,CS100009,호프-간이주점,44144833,7675628,3829267,4302226,9869478,6325128,5994626,6148480,4712506,0,1042791,831954,18428345,19129237,24781964,15425334,0,0,1208042,8541771,16092036,14365448
3110388,도봉우체국,127.030345,37.647551,20242,CS100009,호프-간이주점,38150207,5236750,4980326,2678207,3914741,10627354,4570047,6142782,5920548,0,0,364692,17471028,14393939,27654710,10495497,0,0,4876628,14031965,15178620,4062994
