상권_코드,상권_코드_명,기준_년분기_코드,임대료
3110394,방학중학교,20223,67209
3110394,방학중학교,20224,75837
3110394,방학중학교,20231,84746
3110394,방학중학교,20232,86530
3110394,방학중학교,20233,94895
3110394,방학중학교,20234,97003
3110394,방학중학교,20241,92647
3110394,방학중학교,20242,86076
3110394,방학중학교,20243,80131
3110394,방학중학교,20244,75865
3110395,신한은행 방학동지점,20221,82014
3110395,신한은행 방학동지점,20222,79528
3110395,신한은행 방학동지점,20223,88305
3110395,신한은행 방학동지점,20224,96201
3110395,신한은행 방학동지점,20231,123379
3110395,신한은행 방학동지점,20232,147197
3110395,신한은행 방학동지점,20233,156864
3110395,신한은행 방학동지점,20234,152460
3110395,신한은행 방학동지점,20241,133943
3110395,신한은행 방학동지점,20242,114827
3110395,신한은행 방학동지점,20243,99183
3110395,신한은행 방학동지점,20244,101309
3110396,쌍문역1번(쌍리단길),20221,115730
3110396,쌍문역1번(쌍리단길),20222,102065
3110396,쌍문역1번(쌍리단길),20223,119836
3110396,쌍문역1번(쌍리단길),20224,107603
3110396,쌍문역1번(쌍리단길),20231,110861
3110396,쌍문역1번(쌍리단길),20232,96659
3110396,쌍문역1번(쌍리단길),20233,121346
3110396,쌍문역1번(쌍리단길),20234,125557
3110396,쌍문역1번(쌍리단길),20241,119618
3110396,쌍문역1번(쌍리단길),20242,106544
3110396,쌍문역1번(쌍리단길),20243,101795
3110396,쌍문역1번(쌍리단길),20244,97670
3110397,도봉산입구,20221,66000
3110397,도봉산입구,20222,98132
3110397,도봉산입구,20223,98600
3110397,도봉산입구,20224,91900
3110397,도봉산입구,20231,64975
3110397,도봉산입구,20232,95156
3110397,도봉산입구,20233,98449
3110397,도봉산입구,20234,98683
3110397,도봉산입구,20241,97764
3110397,도봉산입구,20242,87184
3110397,도봉산입구,20243,90900
3110397,도봉산입구,20244,87198
3110398,쌍문2동우체국,20221,98730
3110398,쌍문2동우체국,20222,95574
3110398,쌍문2동우체국,20223,89643
3110398,쌍문2동우체국,20224,86057
3110398,쌍문2동우체국,20231,93141
3110398,쌍문2동우체국,20232,121027
3110398,쌍문2동우체국,20233,115486
3110398,쌍문2동우체국,20234,118979
3110398,쌍문2동우체국,20241,121917
3110398,쌍문2동우체국,20242,97166
3110398,쌍문2동우체국,20243,99267
3110398,쌍문2동우체국,20244,95577
3110399,창2동주민센터,20221,90160
3110399,창2동주민센터,20222,95211
3110399,창2동주민센터,20223,74578
3110399,창2동주민센터,20224,76331
3110399,창2동주민센터,20231,100846
3110399,창2동주민센터,20232,155292
3110399,창2동주민센터,20233,150696
3110399,창2동주민센터,20234,148008
3110399,창2동주민센터,20241,117765
3110399,창2동주민센터,20242,100986
3110399,창2동주민센터,20243,100139
3110399,창2동주민센터,20244,92735
3110400,도봉구보건소,20221,98730
3110400,도봉구보건소,20222,95574
3110400,도봉구보건소,20223,89643
3110400,도봉구보건소,20224,86057
3110400,도봉구보건소,20231,93141
3110400,도봉구보건소,20232,121027
3110400,도봉구보건소,20233,115486
3110400,도봉구보건소,20234,118979
3110400,도봉구보건소,20241,121917
3110400,도봉구보건소,20242,97166
3110400,도봉구보건소,20243,99267
3110400,도봉구보건소,20244,95577
3110401,도봉구민회관,20221,109589
3110401,도봉구민회관,20222,107913
3110401,도봉구민회관,20223,111003
3110401,도봉구민회관,20224,121173
3110401,도봉구민회관,20231,132138
3110401,도봉구민회관,20232,177538
3110401,도봉구민회관,20233,167858
3110401,도봉구민회관,20234,172051
3110401,도봉구민회관,20241,176579
3110401,도봉구민회관,20242,146561
3110401,도봉구민회관,20243,125635
3110401,도봉구민회관,20244,124553
3110402,도봉구 정병원,20221,82014
3110402,도봉구 정병원,20222,79528
3110402,도봉구 정병원,20223,88305
3110402,도봉구 정병원,20224,96201
3110402,도봉구 정병원,20231,123379
3110402,도봉구 정병원,20232,147197
